"paragraphId","groupKey","title","topicCategory","studentLevel","incorrectParagraph","correctedParagraph","originalWordCount","correctedWordCount","sentenceCount","issueCount","englishVariant","author","status","version","retrievalEligible","evaluationHoldout","notes"
"PARA-0001","WORKPLACE_UNIFORMS_001","Workplace Uniforms","Work / Business","B1–B2","In recent years, many company requires their staffs to wears uniforms at work. This policy have several advantage for both workers and customer. First, customers can identifies employees quickly, especially when they needs help. Second, a uniform can reduces how much money staff spend for work clothes. However, some employee feels uncomfortable because the same design do not suit everyone. Uniforms may also makes workers feel that they has less personal freedom. In my opinion, companies should provides suitable uniforms and allows employees to choose between several styles, so the policy can remain professional without caused unnecessary discomfort at work.","In recent years, many companies require their staff to wear uniforms at work. This policy has several advantages for both workers and customers. First, customers can identify employees quickly, especially when they need help. Second, a uniform can reduce how much money staff spend on work clothes. However, some employees feel uncomfortable because the same design does not suit everyone. Uniforms may also make workers feel that they have less personal freedom. In my opinion, companies should provide suitable uniforms and allow employees to choose between several styles, so the policy can remain professional without causing unnecessary discomfort at work.","100","100","7","19","both","Edmund Sir","approved","1","true","false","Multiple common ESL grammar problems."
"PARA-0002","JAPAN_TRAVEL_001","A Family Trip to Japan","Travel / Culture","B1–B2","Last summer, my family travelled to Japan for visit several cities. We stayed in a hotel which was located near from the railway station, so travelling was very convenience. On the first day, we collected many informations from a tourist centre and asked the staff where should we go. They suggested us to visit an ancient temple that built over five hundred years ago. Although the weather was heavily raining, the temple was more beautiful than I expected. If we had brought an umbrella, we would not got wet. Overall, the journey gave us many memory and broaden our knowledge.","Last summer, my family travelled to Japan to visit several cities. We stayed in a hotel which was located near the railway station, so travelling was very convenient. On the first day, we collected much information from a tourist centre and asked the staff where we should go. They suggested that we visit an ancient temple that was built over five hundred years ago. Although it was raining heavily, the temple was more beautiful than I expected. If we had brought an umbrella, we would not have got wet. Overall, the journey gave us many memories and broadened our knowledge.","100","100","7","12","British English","Edmund Sir","approved","1","true","false","Travel vocabulary with infinitive, preposition, countability, indirect-question, passive and conditional errors."
"PARA-0003","COMMUNITY_READING_PROGRAMME_0003","Community Reading Programme","Community / Volunteering","A2–B1","Last month, I joined an community reading programme at the library. The organiser gave each volunteers a guide and asked us arriving on Saturday mornings. My main duty was to helping children to choose books that was suitable for their age. One boy said he was interested on space, so I showed him a book about planets. The pictures were clear, and he read for twenty minutes. Before leaving, every child returned a name card to the front desk. I enjoyed to work there because the staff were patient and the programme made me more confidence when speaking to strangers.","Last month, I joined a community reading programme at the library. The organiser gave each volunteer a guide and asked us to arrive on Saturday mornings. My main duty was to help children to choose books that were suitable for their age. One boy said he was interested in space, so I showed him a book about planets. The pictures were clear, and he read for twenty minutes. Before leaving, every child returned a name card to the front desk. I enjoyed working there because the staff were patient and the programme made me more confident when speaking to strangers.","100","100","7","8","British English","Edmund Sir","approved","1","false","false","Dataset 3 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
"PARA-0004","USING_A_SHOPPING_APP_0004","Using a Shopping App","Technology / Shopping","A2–B1","Yesterday, my parents used a shopping app because our fridge were almost empty. The app showed many information and allowed customers compare prices between shops. My mother asked me where could we buy cheaper fruit, but I was not sure. We decided ordering from a supermarket that located near our home. The driver could to deliver the bags before dinner. The payment was made through the app. When the order arrived, two bottle of milk was missing. I contacted with support and discussed about the problem; they quickly apologised, sent the missing items, and refund the fee within an hour.","Yesterday, my parents used a shopping app because our fridge was almost empty. The app showed much information and allowed customers to compare prices between shops. My mother asked me where we could buy cheaper fruit, but I was not sure. We decided to order from a supermarket that was located near our home. The driver could deliver the bags before dinner. The payment was made through the app. When the order arrived, two bottles of milk were missing. I contacted support and discussed the problem; they quickly apologised, sent the missing items, and refunded the fee within an hour.","100","100","8","12","British English","Edmund Sir","approved","1","false","false","Dataset 4 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
"PARA-0005","HIKING_CLUB_PLANS_0005","Hiking Club Plans","Hobbies / Transport","A2–B1","Our hiking club is planning a short trip. The list of places are on the noticeboard, but neither route include a climb. The leader said we must to bring water, and she asked each members arrive at the station by eight. She asked, “Where should we meet?” because the station has two exits. There are less buses in the morning, so everyone must arrive on time. A jacket is useful for keeping warm, but if it will rain, the group will visit a museum that located nearby. The equipment are stored there. The staff have agreed to show us around.","Our hiking club is planning a short trip. The list of places is on the noticeboard, but neither route includes a climb. The leader said we must bring water, and she asked each member to arrive at the station by eight. She asked, “Where should we meet?” because the station has two exits. There are fewer buses in the morning, so everyone must arrive on time. A jacket is useful for keeping warm, but if it rains, the group will visit a museum that is located nearby. The equipment is stored there. The staff have agreed to show us around.","100","100","8","9","British English","Edmund Sir","approved","1","false","false","Dataset 5 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
"PARA-0006","NEIGHBOURHOOD_REPAIR_CAF_0006","Neighbourhood Repair Café","Community / Sustainability","B1–B2","Despite of receiving only a small grant, our neighbourhood repair café has become one of the most useful project in the district. It has operated since six months and used to offering help only with lamps, but it now accepts bicycles, radios and small kitchen machines. Many residents look forward to learn simple skills instead of throwing damaged objects away. Last Saturday, the volunteers managed fixing twenty items and prevented several batteries ending up in the rubbish. At the entrance, a coordinator carefully explained new visitors the safety rules and provided every team by the necessary gloves. She also reminded to write their names on a form before entering the workshop. Parents were happy because the organisers let children to test safe tools, although they made everyone to wear eye protection. One instructor advised avoiding to touch loose wires and suggested considering to replace any cracked plug. Another volunteer insisted checking each cable twice and said that he was responsible recording every repair. Most visitors prefer repairing old things than buying new ones, and several said they would rather to donate unused tools than throwing them away. The printed instructions were enough clear for beginners to follow, and the final demonstration was such practical that nobody became confused. At closing time, two students were responsible for both sorting spare parts and to clean the tables. Each visitor later chose between taking the item home or leaving it for collection. Between my neighbour and I, we carried the volunteers tools to a cupboard beside a resident who's bicycle had been repaired. The amount of volunteers was encouraging, while the others participants promised to return. By the time the doors closed, the final guest already left, the coordinator still had three forms to check before the next community event in early autumn.","Despite receiving only a small grant, our neighbourhood repair café has become one of the most useful projects in the district. It has operated for six months and used to offer help only with lamps, but it now accepts bicycles, radios and small kitchen machines. Many residents look forward to learning simple skills instead of throwing damaged objects away. Last Saturday, the volunteers managed to fix twenty items and prevented several batteries from ending up in the rubbish. At the entrance, a coordinator carefully explained the safety rules to new visitors and provided every team with the necessary gloves. She also reminded them to write their names on a form before entering the workshop. Parents were happy because the organisers let children test safe tools, although they made everyone wear eye protection. One instructor advised avoiding touching loose wires and suggested considering replacing any cracked plug. Another volunteer insisted on checking each cable twice and said that he was responsible for recording every repair. Most visitors prefer repairing old things to buying new ones, and several said they would rather donate unused tools than throw them away. The printed instructions were clear enough for beginners to follow, and the final demonstration was so practical that nobody became confused. At closing time, two students were responsible for both sorting spare parts and cleaning the tables. Each visitor later chose between taking the item home and leaving it for collection. Between my neighbour and me, we carried the volunteers' tools to a cupboard beside a resident whose bicycle had been repaired. The number of volunteers was encouraging, while the other participants promised to return. By the time the doors closed, the final guest had already left; the coordinator still had three forms to check before the next community event in early autumn.","300","300","16","29","British English","Edmund Sir","approved","1","false","false","Dataset 6 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
"PARA-0007","MUNICIPAL_DRAINAGE_ACCOUNTABILITY_REVIEW_0007","Municipal Drainage Accountability Review","Government / Infrastructure / Public Accountability","B2–C1","Following last winter’s floods, the council set out a panel to look into on why the drainage programme had fallen beneath schedule. The chair asked engineers to follow on every complaint and come up to a plan that would account about the failures. Not only several contractors failed to comply to the safety code, and they also tried to cover up about delays that should have been reported earlier. No sooner the investigators had drawn up on a timetable when one supplier pulled off of the project. Only after the financial records had been examined the panel ruled out against fraud. What it concerned residents most was that officials had put off replace pumps on that several low-lying districts depended. The committee recommended that each contractor provides monthly evidence and that emergency drills carried out twice a year. It is essential that the revised system is tested before the rainy season began, lest another breakdown leaves families without assistance. If had the council acted sooner, it might have prevented damage that is believed having cost local businesses millions. Much although the mayor wanted to defend the original scheme, she admitted that the authority had failed to live up with its promises. Residents would rather the council publishes all future reports than withholding inconvenient findings. By next June, the new monitoring team will take over of the temporary inspectors. However the repairs complicated may become, officials must deal about them transparently. Having reviewed the evidence, the conclusion was that what the city needs is not another short-term campaign but a permanent maintenance strategy. The more consistently agencies work together, similar failures are the less likely to recur. Until all recommendations will be implemented, no department can take it as granted that public confidence will simply return without sustained effort or scrutiny.","Following last winter’s floods, the council set up a panel to look into why the drainage programme had fallen behind schedule. The chair asked engineers to follow up on every complaint and come up with a plan that would account for the failures. Not only did several contractors fail to comply with the safety code, but they also tried to cover up delays that should have been reported earlier. No sooner had the investigators drawn up a timetable than one supplier pulled out of the project. Only after the financial records had been examined did the panel rule out fraud. What concerned residents most was that officials had put off replacing pumps on which several low-lying districts depended. The committee recommended that each contractor provide monthly evidence and that emergency drills be carried out twice a year. It is essential that the revised system be tested before the rainy season begins, lest another breakdown leave families without assistance. Had the council acted sooner, it might have prevented damage that is believed to have cost local businesses millions. Much as the mayor wanted to defend the original scheme, she admitted that the authority had failed to live up to its promises. Residents would rather the council published all future reports than withheld inconvenient findings. By next June, the new monitoring team will have taken over from the temporary inspectors. However complicated the repairs may become, officials must deal with them transparently. Having reviewed the evidence, the panel concluded that what the city needs is not another short-term campaign but a permanent maintenance strategy. The more consistently agencies work together, the less likely similar failures are to recur. Until all recommendations have been implemented, no department can take it for granted that public confidence will simply return without sustained effort or scrutiny.","300","300","16","38","British English","Edmund Sir","approved","1","false","false","Dataset 7 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
"PARA-0008","PREVENTIVE_HEALTH_POLICY_0008","Preventive Health Policy","Public Health / Government Policy","B2–C1","Good health policy should not begin at the hospital door. I completely agree with preventing illness is more important to treating it after it has already developed, and public funding should therefore give the strongest priority for prevention. The first reason is that prevention saves both money as human suffering. When governments invest on health education, vaccination programmes, early screening, safe parks, and better nutrition in schools, many serious conditions can stop before they become expensive medicine crises. A health system, that only responds after people are already sick, is always fighting fires: hospitals become crowded, doctors are overstretched, and taxpayers must pay long-term treatment that might have avoided. For example, if children are taught healthy eating habits and are given at places to exercise, they are less likely of developing obesity-related illnesses later at life. This means that fewer patients needing complex surgery, lifelong medication, or repeated hospital visits. Prevention, therefore, does not merely reduce costs; it protects people of pain that no medicine can fully erase it. Another reason is due to preventive spending creates a fairer society. Treatment often reaches people only after damage has done, whereas that prevention can protect whole communities before illness takes its root. This is especially important for poorer families, which may lack of access for nutritious food, safe housing, mental-health support, or regular medical checks. If public money is used to improve air quality, providing free health screenings, support school meals, and promote active lifestyles, the benefits are shared wide rather than reserve for those whom can afford for private care. In this sense, prevention is not just a medical strategy; it is a social investment that helps citizens remain healthily, productivity, and independently. In conclusion, governments should clearly prioritise on the prevention of disease because of it reduces avoidable suffering, lowering pressure to healthcare systems, and protects society more equally. Although treating illness matters, but preventing it is the more wiser use for public money.","Good health policy should not begin at the hospital door. I completely agree that preventing illness is more important than treating it after it has already developed, and public funding should therefore give prevention the strongest priority. The first reason is that prevention saves both money and human suffering. When governments invest in health education, vaccination programmes, early screening, safe parks, and better nutrition in schools, many serious conditions can be stopped before they become expensive medical crises. A health system that only responds after people are already sick is always fighting fires: hospitals become crowded, doctors are overstretched, and taxpayers must pay for long-term treatment that might have been avoided. For example, if children are taught healthy eating habits and are given places to exercise, they are less likely to develop obesity-related illnesses later in life. This means fewer patients needing complex surgery, lifelong medication, or repeated hospital visits. Prevention, therefore, does not merely reduce costs; it protects people from pain that no medicine can fully erase. Another reason is that preventive spending creates a fairer society. Treatment often reaches people only after damage has been done, whereas prevention can protect whole communities before illness takes root. This is especially important for poorer families, who may lack access to nutritious food, safe housing, mental-health support, or regular medical checks. If public money is used to improve air quality, provide free health screenings, support school meals, and promote active lifestyles, the benefits are shared widely rather than reserved for those who can afford private care. In this sense, prevention is not just a medical strategy; it is a social investment that helps citizens remain healthy, productive, and independent. In conclusion, governments should clearly prioritise the prevention of disease because it reduces avoidable suffering, lowers pressure on healthcare systems, and protects society more equally. Treating illness matters, but preventing it is the wiser use of public money.","325","316","15","36","British English","Edmund Sir","approved","1","false","false","Dataset 8 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
"PARA-0009","HOLIDAY_OVERWORK_AND_EMPLOYEE_WELL_BEING_0009","Holiday Overwork and Employee Well-being","Employment / Work–life Balance / Health","B1–B2","Nowadays, many employers blame on the phenomenon of overwork during holiday as their employers offer jobs for them apart from working hours. I highly believe that this problem has placed detrimental effects on workers, in terms of workloads, stress and social relationships. The most significant problem is that workers may suffer from higher workloads. As employers are able to connect with them at all times, they can offer job duties and request on urgent projects. As such, employers may sacrifice their holiday and take extra amount of work. Besides, working on holidays imposes high pressure on employees. Due to the fact that workers have to stay alert for phone calls from employers, they may devote less time on relaxation and be prepared for the request. As a result, they have less chance to relive their stress during holiday, and which may boost their anxiety under stress. Moreover, employees who need to work 247 may spend less time with their friends or partners. In addition to family gathering, employers who have to stay behind for work may devote less time in social activities. This generally destroys their social bonding with peers and draws on negative effects to their social relationships. However, some may judge that being connected with employers enhances their working efficiency. Workers who have difficulties can ask for advice from their employers and to receive immediate responses. But, as far as I am concerned, this is more beneficial to employers than workers, as they have no obligation to work on every occasion. Conversely, employers should respect their freedom and support workers during workdays. Also, workers should set boundaries for their working hours and avoid excessive workloads to keep themselves healthy. To sum up, employers should avoid contacting their workers during holiday, which can prevent them from excessive work, loads of stress and to keep close relationship with their friends.","Nowadays, many employees complain about the phenomenon of overwork during holidays as their employers give them work outside working hours. I strongly believe that this problem has had detrimental effects on workers, in terms of workloads, stress and social relationships. The most significant problem is that workers may suffer from higher workloads. As employers are able to connect with them at all times, they can assign duties and request work on urgent projects. As such, employees may sacrifice their holidays and take on an extra amount of work. Besides, working on holidays imposes high pressure on employees. Due to the fact that workers have to stay alert for phone calls from employers, they may devote less time to relaxation and be prepared for requests. As a result, they have less chance to relieve their stress during holidays, which may boost their anxiety under stress. Moreover, employees who need to work 24/7 may spend less time with their friends or partners. In addition to family gatherings, employees who have to stay behind at work may devote less time to social activities. This generally destroys their social bonding with peers and has negative effects on their social relationships. However, some may judge that being connected with employers enhances workers' working efficiency. Workers who have difficulties can ask for advice from their employers and receive immediate responses. But, as far as I am concerned, this is more beneficial to employers than workers, as workers have no obligation to work on every occasion. Conversely, employers should respect workers' freedom and support workers during workdays. Also, workers should set boundaries for their working hours and avoid excessive workloads to keep themselves healthy. To sum up, employers should avoid contacting their workers during holidays, which can protect them from excessive work and loads of stress and can help them maintain close relationships with their friends.","310","309","17","32","British English","Edmund Sir","approved","1","false","false","Dataset 9 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
"PARA-0010","SCHOOL_UNIFORMS_EQUALITY_AND_PRACTICAL_COSTS_0010","School Uniforms, Equality and Practical Costs","Education / School Policy / Student Well-being","B1–B2","In many schools, In order to train students discipline. Schools have stringent requestment in uniform. Some schools allow children to dress with for more freedom. Requiring pupils to wear a uniform has several clear benefits, especially wearing uniform can help students more focus on studies, but schools allowing casual wear will increase the time and cost and even cause psychological problems. One major advantage Wearing uniform can reduce this wearing anxiety and help students concentrate on studies. If students spend less time choosing outfits clothes, they can reserve more time for homework and get quality time to sleep in the morning, as well as students maintain energy in the lesson. Uniforms can create the fair schools environment. If schools allow the students causal wear, everyday schools will become a faishon show, Some affluent student dressed to flex, while a normal students only have 2-3 outfits to change. Teenagers value their friendships and care about what their think, personal outfits become a main topic in schools. If some students can't expand that even cause bullying in school. Therefore children will face mental health problems. For these reasons uniforms can reslove the students choosing outfits problems and make campus life equal. However schools uniforms also have disadvantages. the most obvious one is that uniforms are not comfortable and practical. Although uniforms look decent, they can't take away sweat and uniform quality not warm in the winnter. For example the student finishing the PE leasson T-shirt always get wet and the jacket too thin can't keep warm. Another drawback is cost. Although uniforms are meant to simplify clothing but the suppliers price increase every years. If the students in developmental stage, keep to change every year. For income family this become a heavy hidden financial burden. Therefore uniforms may solve social problems at schools, but they can also create parents and students economic difficulties. In conclusion school uniforms can make wearing easier for the students and reduce comparison but they can cause financial pressure. Overall, they bring clear learning environment benefits, while also creating practical and personal drawbacks.","In many schools, uniforms are required in order to instil discipline in students. Schools have stringent uniform requirements. Some schools allow children to dress more freely. Requiring pupils to wear a uniform has several clear benefits, especially because wearing a uniform can help students focus more on studies, but schools allowing casual wear will increase the time and cost and even cause psychological problems. One major advantage is that wearing a uniform can reduce anxiety about clothing and help students concentrate on studies. If students spend less time choosing outfits, they can reserve more time for homework, have more time to sleep in the morning, and maintain energy in the lesson. Uniforms can create a fair school environment. If schools allow the students to wear casual clothes, schools will become fashion shows every day; some affluent students dress to flex, while normal students have only 2-3 outfits to change into. Teenagers value their friendships and care about what their friends think, so personal outfits become a main topic in schools. If some students can't afford such clothes, this may even cause bullying in school. Therefore, children will face mental health problems. For these reasons, uniforms can resolve students' problems with choosing outfits and make campus life equal. However, school uniforms also have disadvantages. The most obvious one is that uniforms are neither comfortable nor practical. Although uniforms look decent, they can't wick away sweat and they are not warm in winter. For example, after a student finishes a PE lesson, their T-shirt always gets wet, and their jacket is too thin to keep them warm. Another drawback is cost. Although uniforms are meant to simplify clothing, the suppliers' prices increase every year. If the students are at a developmental stage, they need to change their uniforms every year. For low-income families, this becomes a heavy hidden financial burden. Therefore, uniforms may solve social problems at schools, but they can also create economic difficulties for parents and students. In conclusion, school uniforms can make dressing easier for the students and reduce comparison, but they can cause financial pressure. Overall, they bring clear learning environment benefits, while also creating practical and personal drawbacks.","345","361","23","51","British English","Edmund Sir","approved","1","false","false","Dataset 10 from the supplied Grammar Dataset 3 to 18 PDF. Approved for canonical storage in the development partition; excluded from live retrieval pending a separate production review."
