"exceptionId","ruleId","order","conditionEn","exampleText","explanationZhHant","englishVariant","status"
"EX-PURPOSE_TO_INFINITIVE-01","PURPOSE_TO_INFINITIVE","1","for + verb-ing can describe the intended use of an object.","This bag is for carrying books.","for + verb-ing 可以表示物件的用途。這不等於「某人做某事的目的」。","both","approved"
"EX-NEAR_PREPOSITION-01","NEAR_PREPOSITION","1","near to is valid in some abstract or formal contexts.","The negotiations were near to completion.","near to 在部分語境可以成立，因此系統不應一律刪除 to。near from 才是本例的問題。","both","approved"
"EX-ADJECTIVE_AFTER_BE-01","ADJECTIVE_AFTER_BE","1","The noun convenience is grammatical when the syntax requires a noun.","We travelled for convenience.","convenience 作名詞時完全正確；本例錯在 was very convenience 需要形容詞。","both","approved"
"EX-INFORMATION_UNCOUNTABLE-01","INFORMATION_UNCOUNTABLE","1","Information can be counted with a unit expression.","We received three pieces of information.","需要計算資料數量時，可以使用 pieces/items of information。","both","approved"
"EX-INDIRECT_QUESTION_ORDER-01","INDIRECT_QUESTION_ORDER","1","A directly quoted question retains question word order.","She asked, “Where should we go?”","直接引述問題時使用疑問句語序；只有間接問句使用 where we should go。","both","approved"
"EX-SUGGEST_CONSTRUCTION-01","SUGGEST_CONSTRUCTION","1","suggest + verb-ing is a valid construction.","They suggested visiting the temple.","suggest + verb-ing 是正確結構。","both","approved"
"EX-SUGGEST_CONSTRUCTION-02","SUGGEST_CONSTRUCTION","2","suggest to someone that... is valid when to introduces the recipient.","They suggested to us that we visit the temple.","suggest to someone that... 可以成立，但不能寫 suggest someone to do。","both","approved"
"EX-PASSIVE_RELATIVE_CLAUSE-01","PASSIVE_RELATIVE_CLAUSE","1","Use the active voice when the relative-clause subject performs the action.","We met the workers who built the temple.","workers 主動建造寺廟，所以使用主動式 built，不需要 were built。","both","approved"
"EX-RAIN_IT_CONSTRUCTION-01","RAIN_IT_CONSTRUCTION","1","The weather can be the subject when rainy is an adjective.","The weather was rainy.","使用形容詞 rainy 時，可以用 the weather 作主語。","both","approved"
"EX-THIRD_CONDITIONAL_RESULT-01","THIRD_CONDITIONAL_RESULT","1","A mixed conditional can combine a past condition with a present result.","If I had studied medicine, I would be a doctor now.","這是混合條件句：過去條件造成現在結果，因此可以使用 would be。","both","approved"
"EX-THIRD_CONDITIONAL_RESULT-02","THIRD_CONDITIONAL_RESULT","2","American English commonly uses gotten as the past participle of get.","If we had brought an umbrella, we would not have gotten wet.","gotten 是常見美式英文；got 是本例採用的英式英文。","American English","approved"
"EX-MANY_PLURAL_NOUN-01","MANY_PLURAL_NOUN","1","The formal many a construction takes a singular noun and singular verb.","Many a traveller has made this mistake.","正式結構 many a + 單數名詞 + 單數動詞 是例外。","both","approved"
"EX-PAST_TENSE_PARALLEL-01","PAST_TENSE_PARALLEL","1","A modal changes the required form of the following verb.","The journey may broaden our knowledge.","情態動詞 may 後面使用動詞原形，所以這裡的 broaden 正確。","both","approved"
