"groupKey","partition","description"
"WORKPLACE_UNIFORMS_001","retrieval","Workplace-uniform paragraph family for approved retrieval examples."
"JAPAN_TRAVEL_001","retrieval","Japan-travel paragraph family for approved retrieval examples."
"COMMUNITY_READING_PROGRAMME_0003","development","Development-only paragraph family for Dataset 3: Community Reading Programme."
"USING_A_SHOPPING_APP_0004","development","Development-only paragraph family for Dataset 4: Using a Shopping App."
"HIKING_CLUB_PLANS_0005","development","Development-only paragraph family for Dataset 5: Hiking Club Plans."
"NEIGHBOURHOOD_REPAIR_CAF_0006","development","Development-only paragraph family for Dataset 6: Neighbourhood Repair Café."
"MUNICIPAL_DRAINAGE_ACCOUNTABILITY_REVIEW_0007","development","Development-only paragraph family for Dataset 7: Municipal Drainage Accountability Review."
"PREVENTIVE_HEALTH_POLICY_0008","development","Development-only paragraph family for Dataset 8: Preventive Health Policy."
"HOLIDAY_OVERWORK_AND_EMPLOYEE_WELL_BEING_0009","development","Development-only paragraph family for Dataset 9: Holiday Overwork and Employee Well-being."
"SCHOOL_UNIFORMS_EQUALITY_AND_PRACTICAL_COSTS_0010","development","Development-only paragraph family for Dataset 10: School Uniforms, Equality and Practical Costs."
"WORKING_HOURS_AND_PERSONAL_BOUNDARIES_0011","development","Development-only paragraph family for Dataset 11: Working Hours and Personal Boundaries."
"WORKPLACE_UNIFORMS_AND_CUSTOMER_TRUST_0012","development","Development-only paragraph family for Dataset 12: Workplace Uniforms and Customer Trust."
"POPULATION_AGE_STRUCTURES_IN_YEMEN_AND_ITALY_0013","development","Development-only paragraph family for Dataset 13: Population Age Structures in Yemen and Italy."
"COMMUNITY_DIGITAL_ARCHIVE_PILOT_0014","development","Development-only paragraph family for Dataset 14: Community Digital Archive Pilot."
"UNIVERSITY_COMMUNITY_RESEARCH_FELLOWSHIP_0015","development","Development-only paragraph family for Dataset 15: University Community Research Fellowship."
"INTERNATIONAL_STUDENT_ORIENTATION_AND_TRANSPORT_TRIAL_0016","development","Development-only paragraph family for Dataset 16: International Student Orientation and Transport Trial."
"RIVERSIDE_DISTRICT_REDEVELOPMENT_0017","development","Development-only paragraph family for Dataset 17: Riverside District Redevelopment."
"REGIONAL_ELECTRICITY_CONSUMPTION_AND_ENERGY_SOURCES_0018","development","Development-only paragraph family for Dataset 18: Regional Electricity Consumption and Energy Sources."
